WORD,POS,INFO,SOURCE_FILE
Pierre,NNP,2,wsj_0001.dp
Vinken,NNP,8,wsj_0001.dp
",",",",2,wsj_0001.dp
61,CD,5,wsj_0001.dp
years,NNS,6,wsj_0001.dp
old,JJ,2,wsj_0001.dp
",",",",2,wsj_0001.dp
will,MD,0,wsj_0001.dp
join,VB,8,wsj_0001.dp
the,DT,11,wsj_0001.dp
board,NN,9,wsj_0001.dp
as,IN,9,wsj_0001.dp
a,DT,15,wsj_0001.dp
nonexecutive,JJ,15,wsj_0001.dp
director,NN,12,wsj_0001.dp
Nov.,NNP,9,wsj_0001.dp
29,CD,16,wsj_0001.dp
.,.,8,wsj_0001.dp
Mr.,NNP,2,wsj_0001.dp
Vinken,NNP,3,wsj_0001.dp
is,VBZ,0,wsj_0001.dp
chairman,NN,3,wsj_0001.dp
of,IN,4,wsj_0001.dp
Elsevier,NNP,7,wsj_0001.dp
N.V.,NNP,12,wsj_0001.dp
",",",",12,wsj_0001.dp
the,DT,12,wsj_0001.dp
Dutch,NNP,12,wsj_0001.dp
publishing,VBG,12,wsj_0001.dp
group,NN,5,wsj_0001.dp
.,.,3,wsj_0001.dp
Rudolph,NNP,2,wsj_0002.dp
Agnew,NNP,16,wsj_0002.dp
",",",",2,wsj_0002.dp
55,CD,5,wsj_0002.dp
years,NNS,6,wsj_0002.dp
old,JJ,2,wsj_0002.dp
and,CC,6,wsj_0002.dp
former,JJ,9,wsj_0002.dp
chairman,NN,6,wsj_0002.dp
of,IN,9,wsj_0002.dp
Consolidated,NNP,14,wsj_0002.dp
Gold,NNP,14,wsj_0002.dp
Fields,NNP,14,wsj_0002.dp
PLC,NNP,10,wsj_0002.dp
",",",",2,wsj_0002.dp
was,VBD,0,wsj_0002.dp
named,VBN,16,wsj_0002.dp
a,DT,20,wsj_0002.dp
nonexecutive,JJ,20,wsj_0002.dp
director,NN,17,wsj_0002.dp
of,IN,20,wsj_0002.dp
this,DT,25,wsj_0002.dp
British,JJ,25,wsj_0002.dp
industrial,JJ,25,wsj_0002.dp
conglomerate,NN,21,wsj_0002.dp
.,.,16,wsj_0002.dp
A,DT,2,wsj_0003.dp
form,NN,12,wsj_0003.dp
of,IN,2,wsj_0003.dp
asbestos,NN,3,wsj_0003.dp
once,RB,6,wsj_0003.dp
used,VBN,2,wsj_0003.dp
to,TO,8,wsj_0003.dp
make,VB,6,wsj_0003.dp
Kent,NNP,11,wsj_0003.dp
cigarette,NN,11,wsj_0003.dp
filters,NNS,8,wsj_0003.dp
has,VBZ,35,wsj_0003.dp
caused,VBN,12,wsj_0003.dp
a,DT,16,wsj_0003.dp
high,JJ,16,wsj_0003.dp
percentage,NN,13,wsj_0003.dp
of,IN,16,wsj_0003.dp
cancer,NN,19,wsj_0003.dp
deaths,NNS,17,wsj_0003.dp
among,IN,16,wsj_0003.dp
a,DT,22,wsj_0003.dp
group,NN,20,wsj_0003.dp
of,IN,22,wsj_0003.dp
workers,NNS,23,wsj_0003.dp
exposed,VBN,24,wsj_0003.dp
to,TO,25,wsj_0003.dp
it,PRP,26,wsj_0003.dp
more,RBR,29,wsj_0003.dp
than,IN,31,wsj_0003.dp
30,CD,29,wsj_0003.dp
years,NNS,32,wsj_0003.dp
ago,IN,25,wsj_0003.dp
",",",",35,wsj_0003.dp
researchers,NNS,35,wsj_0003.dp
reported,VBD,0,wsj_0003.dp
.,.,35,wsj_0003.dp
The,DT,3,wsj_0003.dp
asbestos,NN,3,wsj_0003.dp
fiber,NN,5,wsj_0003.dp
",",",",5,wsj_0003.dp
crocidolite,NN,7,wsj_0003.dp
",",",",5,wsj_0003.dp
is,VBZ,31,wsj_0003.dp
unusually,RB,9,wsj_0003.dp
resilient,JJ,7,wsj_0003.dp
once,IN,7,wsj_0003.dp
it,PRP,12,wsj_0003.dp
enters,VBZ,10,wsj_0003.dp
the,DT,14,wsj_0003.dp
lungs,NNS,12,wsj_0003.dp
",",",",7,wsj_0003.dp
with,IN,7,wsj_0003.dp
even,RB,19,wsj_0003.dp
brief,JJ,19,wsj_0003.dp
exposures,NNS,22,wsj_0003.dp
to,TO,19,wsj_0003.dp
it,PRP,20,wsj_0003.dp
causing,VBG,16,wsj_0003.dp
symptoms,NNS,22,wsj_0003.dp
that,WDT,23,wsj_0003.dp
show,VBP,24,wsj_0003.dp
up,RP,25,wsj_0003.dp
decades,NNS,28,wsj_0003.dp
later,JJ,25,wsj_0003.dp
",",",",31,wsj_0003.dp
researchers,NNS,31,wsj_0003.dp
said,VBD,0,wsj_0003.dp
.,.,31,wsj_0003.dp
Lorillard,NNP,2,wsj_0003.dp
Inc.,NNP,5,wsj_0003.dp
",",",",5,wsj_0003.dp
the,DT,5,wsj_0003.dp
unit,NN,16,wsj_0003.dp
of,IN,5,wsj_0003.dp
New,JJ,8,wsj_0003.dp
York-based,JJ,10,wsj_0003.dp
Loews,NNP,10,wsj_0003.dp
Corp.,NNP,6,wsj_0003.dp
that,WDT,5,wsj_0003.dp
makes,VBZ,11,wsj_0003.dp
Kent,NNP,14,wsj_0003.dp
cigarettes,NNS,12,wsj_0003.dp
",",",",5,wsj_0003.dp
stopped,VBD,0,wsj_0003.dp
using,VBG,16,wsj_0003.dp
crocidolite,NN,17,wsj_0003.dp
in,IN,17,wsj_0003.dp
its,PRP$,23,wsj_0003.dp
Micronite,NN,23,wsj_0003.dp
cigarette,NN,23,wsj_0003.dp
filters,NNS,19,wsj_0003.dp
in,IN,17,wsj_0003.dp
1956,CD,24,wsj_0003.dp
.,.,16,wsj_0003.dp
Although,IN,15,wsj_0003.dp
preliminary,JJ,3,wsj_0003.dp
findings,NNS,4,wsj_0003.dp
